ssd,current_spot_price
2018-02-21,2190.0
2018-02-22,2194.0
2018-02-23,2210.0
2018-02-26,2188.0
2018-02-27,2172.0
2018-02-28,2158.0
2018-03-01,2143.0
2018-03-02,2144.0
2018-03-05,2135.0
2018-03-06,2136.0
2018-03-07,2112.0
2018-03-08,2082.0
2018-03-09,2078.0
2018-03-12,2097.0
2018-03-13,2080.0
2018-03-14,2096.0
2018-03-15,2062.0
2018-03-16,2069.0
2018-03-19,2070.0
2018-03-20,2073.0
2018-03-21,2056.0
2018-03-22,2059.0
2018-03-23,2049.0
2018-03-26,2022.0
2018-03-27,2035.0
2018-03-28,2009.0
2018-03-29,1997.0
2018-03-30,2001.3333333333333
2018-04-02,2005.6666666666667
2018-04-03,2010.0
2018-04-04,1972.0
2018-04-05,1969.0
2018-04-06,1967.0
2018-04-09,2113.0
2018-04-10,2172.0
2018-04-11,2253.0
2018-04-12,2220.0
2018-04-13,2325.0
2018-04-16,2358.0
2018-04-17,2376.0
2018-04-18,2528.0
2018-04-19,2602.0
2018-04-20,2463.0
2018-04-23,2452.0
2018-04-24,2222.0
2018-04-25,2248.0
2018-04-26,2204.0
2018-04-27,2249.0
2018-04-30,2224.0
2018-05-01,2258.0
2018-05-02,2269.0
2018-05-03,2349.0
2018-05-04,2316.0
2018-05-07,2350.0
2018-05-08,2384.0
2018-05-09,2295.0
2018-05-10,2327.0
2018-05-11,2274.0
2018-05-14,2286.0
2018-05-15,2313.0
2018-05-16,2320.0
2018-05-17,2280.0
2018-05-18,2297.0
2018-05-21,2278.0
2018-05-22,2226.0
2018-05-23,2227.0
2018-05-24,2271.0
2018-05-25,2282.0
2018-05-28,2271.0
2018-05-29,2260.0
2018-05-30,2266.0
2018-05-31,2286.0
2018-06-01,2271.0
2018-06-04,2324.0
2018-06-05,2314.0
2018-06-06,2318.0
2018-06-07,2331.0
2018-06-08,2288.0
2018-06-11,2300.0
2018-06-12,2309.0
2018-06-13,2278.0
2018-06-14,2278.0
2018-06-15,2240.0
2018-06-18,2220.0
2018-06-19,2179.0
2018-06-20,2179.0
2018-06-21,2167.0
2018-06-22,2166.0
2018-06-25,2172.0
2018-06-26,2152.0
2018-06-27,2204.0
2018-06-28,2173.0
2018-06-29,2183.0
2018-07-02,2153.0
2018-07-03,2165.0
2018-07-04,2120.0
2018-07-05,2127.0
2018-07-06,2098.0
2018-07-09,2136.0
2018-07-10,2140.0
2018-07-11,2120.0
2018-07-12,2104.0
2018-07-13,2102.0
2018-07-16,2130.0
2018-07-17,2110.0
2018-07-18,2040.0
2018-07-19,2062.0
2018-07-20,2075.0
2018-07-23,2130.0
2018-07-24,2082.0
2018-07-25,2056.0
2018-07-26,2054.0
2018-07-27,2055.0
2018-07-30,2054.0
2018-07-31,2061.0
2018-08-01,2036.0
2018-08-02,2023.0
2018-08-03,2016.0
2018-08-06,2000.0
2018-08-07,2026.0
2018-08-08,2022.0
2018-08-09,2118.0
2018-08-10,2039.0
2018-08-13,2052.0
2018-08-14,2038.0
2018-08-15,1994.0
2018-08-16,1998.0
2018-08-17,1999.0
2018-08-20,2033.0
2018-08-21,2040.0
2018-08-22,2038.0
2018-08-23,2022.0
2018-08-24,2062.0
2018-08-27,2075.0
2018-08-28,2088.0
2018-08-29,2116.0
2018-08-30,2127.0
2018-08-31,2112.0
2018-09-03,2084.0
2018-09-04,2040.0
2018-09-05,2046.0
2018-09-06,2030.0
2018-09-07,2030.0
2018-09-10,2000.0
2018-09-11,2035.0
2018-09-12,1982.0
2018-09-13,2014.0
2018-09-14,2016.0
2018-09-17,1985.0
2018-09-18,2012.0
2018-09-19,1981.0
2018-09-20,2018.0
2018-09-21,2034.0
2018-09-24,2035.0
2018-09-25,2020.0
2018-09-26,2056.0
2018-09-27,2030.0
2018-09-28,2012.0
2018-10-01,2048.0
2018-10-02,2080.0
2018-10-03,2166.0
2018-10-04,2244.0
2018-10-05,2140.0
2018-10-08,2074.0
2018-10-09,2032.0
2018-10-10,2029.0
2018-10-11,2024.0
2018-10-12,2045.0
2018-10-15,2028.0
2018-10-16,2022.0
2018-10-17,2018.0
2018-10-18,2008.0
2018-10-19,2022.0
2018-10-22,2002.0
2018-10-23,1997.0
2018-10-24,1988.0
